Source_Ja	Target_En	Translation_En_Ours	Human_Score_A	Human_Score_B	
どうにかして従業員の離職率を低めて、定着率を上げる方法を見つけないといけないな。	We have to figure out ways to reduce turnover and increase employee retention.	We need to get down the employee's turnover rate and find a way to increase the until the's until the is now.	0	0	
私にいけてる上司になれという意味かい？	Does that mean I have to be the coolest boss to make them like me?	Do you mean you will be a great boss to me?	0	0	
ならなくてもいいけど、なるとプラスにはなるね。	You don't have to, but it probably will help.	You don’t have to, but it’s going to be a plus.	100	95	
でも君は君のままでいいよ。	But you just have to be you.	But you can stay as you.	100	90	
もうすでに君は若い従業員にとって素晴らしい見本だよ。	You are a great role model for them already.	You are already a great opportunity for young employees.	100	100	
有難う。	Thank you for saying that.	Thank you.	100	100	
じゃあ今からまた最高の上司になって若い子たちの手助けをしてくるよ。	Now let me get back to being an awesome boss and help those young people.	Then I will be the best boss and help young people.	20	100	
話せて良かったよ。	It was nice chatting with you.	I'm glad you can talk to me.	10	80	
コピー用紙がもうすぐなくなりそうだけど。	We're almost running out of copy paper.	The copy paper will soon be lost.			
そうですか、気づいていませんでした。	Oh, I didn't notice.	I see, I didn't know.			
今すぐ注文しておきますね。	I'll order now.	I will order it right now.			
今週中に届くかな。	Do you think they'll come this week?	I wonder if they will arrive this week.			
週末までにたくさん印刷するものがあるんだよ。	I need to print out lots of things by weekend.	There are a lot of printed by the end of the week.			
いつも注文した翌日に届くので、大丈夫でしょう。	They usually deliver the next day, so it should be fine.	The day after you always ordered it, it will be okay.			
でも、念のために、注文の際に確認しておきますね。	But I'll double check when I order, just in case.	But, in case, I will check it when I order it.			
よろしく頼む。	Appreciate it.	Thank you.			
ついでに、大きめの封筒も少し頼んでくれるかな。	Can you also order large envelopes together?	Then can you ask me a little too?			
分かりました。	Sure.	I understood.			
他には何かいりますか？	Anything else?	Is there anything else I can help you with?			
いや、それだけだ。	No, that's it.	No, that's all.			
じゃ、頼んでおきますね。	Ok, it will be done soon.	I will ask you.			
ありがとう。	Thanks.	thank you.			
すみません、森さん、ちょっといいですか？	Excuse me, Mori-san, can I ask you something?	Sorry, Mr. last minute, do you have a moment?			
はい、何でしょう。	Yes, how can I help?	Yes, what is it.			
客先に出すこのメール文、これでいいでしょうか？	Could you check my e-mail letter to the client?	Can I send this email to the customer?			
えーと、ここ、語順をこういうふうに入れ替えた方がいいと思いますけど。	Hmm, here, I think you should change the word order, like this.	Well, I think it's better to change the language order like this.			
えっ、今のすごい早いですね。	Wow, it’s so quick.	Oh, that's a lot early now.			
コピペショートカットキーを使ったのよ。	I used copy-and-paste short cut keys.	I used a was a showy show.			
コントロールキーとCでコピーして、コントロールとVでペーストするんです。	You can press control key and C to copy, and then paste it with control and V keys.	I copy it with control and C and waste the control and V.			
へー、ショートカットキーは便利ですね。	Ah, short cuts are useful, aren’t they?	Well, the short key is useful.			
森さんは、パソコンでメール打つのも早いですよね。	You type e-mails so fast on the PC, don’t you?	Mr. last minute, you can send emails on your computer too early.			
僕は携帯メールは早く打てるんですけどね。	I can send text messages on my mobile very fast.	I’m going to get my phone quickly.			
中村さんたちはスマホ世代だから、フリック入力は早いのよね。	You are in the smartphone generation, so you use flick input skilfully.	Ours are a smartphone generation, so the earlier input is fast.			
私は、携帯だと画面の文字が小さくてメガネなしには良く見えないし。	I can’t see small letters on my mobile screen without reading glasses.	I don’t see any good with the screen letters in the setting up my glasses.			
